shot,a4,resid_rms
10084_ch,24.0,0.004630933981388807
10084_ch,25.0,0.00472023943439126
10084_ch,26.0,0.004698846954852343
10084_ch,27.0,0.004678616300225258
10084_ch,28.0,0.004630780313163996
10084_ch,29.0,0.004640719387680292
10084_ch,30.0,0.004622720647603273
10084_ch,31.0,0.004605093039572239
10084_ch,32.0,0.004587826319038868
10084_ch,33.0,0.004570862744003534
10084_ch,34.0,0.004554153420031071
10084_ch,35.0,0.0045377351343631744
10084_ch,36.0,0.0045216018334031105
10084_ch,37.0,0.0045057786628603935
10084_ch,38.0,0.004490246064960957
10084_ch,39.0,0.00447492441162467
10084_ch,40.0,0.004459839779883623
10084_ch,41.0,0.004445039667189121
10084_ch,42.0,0.004430646076798439
10084_ch,43.0,0.004416832700371742
10084_ch,44.0,0.004404119215905666
10084_ch,45.0,0.004391510039567947
10084_ch,46.0,0.004379230551421642
10084_ch,47.0,0.004366518929600716
10084_ch,48.0,0.004353456664830446
10084_ch,49.0,0.004341823514550924
11705_cv,1.0,0.0035329440142959356
11705_cv,2.0,0.003603644436225295
11705_cv,3.0,0.003629116341471672
11705_cv,4.0,0.0036156028509140015
11705_cv,5.0,0.003600076772272587
11705_cv,6.0,0.003583025187253952
11705_cv,7.0,0.0035651063080877066
11705_cv,8.0,0.0035467722918838263
11705_cv,9.0,0.00352845317684114
11705_cv,10.0,0.003510581562295556
11705_cv,11.0,0.0034935688599944115
11705_cv,12.0,0.0034704995341598988
11705_cv,13.0,0.0034559578634798527
11705_cv,14.0,0.0034442474134266376
11705_cv,15.0,0.0034346298780292273
11705_cv,16.0,0.0034265287686139345
11705_cv,17.0,0.0034197205677628517
11705_cv,18.0,0.0034142753574997187
11705_cv,19.0,0.003410006407648325
11705_cv,20.0,0.003407413139939308
11705_cv,21.0,0.0034058999735862017
11705_cv,22.0,0.0034053183626383543
11705_cv,23.0,0.003404617542400956
11705_cv,24.0,0.003405466675758362
11705_cv,25.0,0.0034059968311339617
11705_cv,26.0,0.003406522562727332
11705_cv,27.0,0.0034062336198985577
11705_cv,28.0,0.0034086517989635468
11705_cv,29.0,0.0034123538061976433
11705_cv,30.0,0.0034153196029365063
11705_cv,31.0,0.0034178446512669325
11705_cv,32.0,0.003420320339500904
11705_cv,33.0,0.003423652844503522
11705_cv,34.0,0.0034270479809492826
11705_cv,35.0,0.003430028213188052
11705_cv,36.0,0.0034331558272242546
11705_cv,37.0,0.0034364403691142797
11705_cv,38.0,0.003440495114773512
11705_cv,39.0,0.003444964997470379
11705_cv,40.0,0.003449151059612632
11705_cv,41.0,0.0034532491117715836
11705_cv,42.0,0.0034570335410535336
11705_cv,43.0,0.0034606410190463066
11705_cv,44.0,0.0034653220791369677
11705_cv,45.0,0.003469971939921379
11705_cv,46.0,0.0034740634728223085
11705_cv,47.0,0.0034774760715663433
11705_cv,48.0,0.003480785759165883
11705_cv,49.0,0.003483745502308011
11705_ch,1.0,0.0035762041807174683
11705_ch,2.0,0.003619041293859482
11705_ch,3.0,0.003655933542177081
11705_ch,4.0,0.003685219679027796
11705_ch,5.0,0.0037066901568323374
11705_ch,6.0,0.0037068231031298637
11705_ch,7.0,0.0037668831646442413
11705_ch,8.0,0.0037458830047398806
11705_ch,9.0,0.0037242143880575895
11705_ch,10.0,0.003702357644215226
11705_ch,11.0,0.0036807795986533165
11705_ch,12.0,0.0036598131991922855
11705_ch,13.0,0.003634847467765212
11705_ch,14.0,0.0036159646697342396
11705_ch,15.0,0.003598520066589117
11705_ch,16.0,0.0035821415949612856
11705_ch,17.0,0.0035669105127453804
11705_ch,18.0,0.003553119720891118
11705_ch,19.0,0.003540904726833105
11705_ch,20.0,0.0035301214084029198
11705_ch,21.0,0.00352048990316689
11705_ch,22.0,0.0035117531660944223
11705_ch,23.0,0.0035037300549447536
11705_ch,24.0,0.003496314398944378
11705_ch,25.0,0.0034894743002951145
11705_ch,26.0,0.003483263775706291
11705_ch,27.0,0.0034777994733303785
11705_ch,28.0,0.0034731959458440542
11705_ch,29.0,0.003469368675723672
11705_ch,30.0,0.003466620808467269
11705_ch,31.0,0.00346388784237206
11705_ch,32.0,0.003461616113781929
11705_ch,33.0,0.0034613923635333776
11705_ch,34.0,0.0034606344997882843
11705_ch,35.0,0.003459957195445895
11705_ch,36.0,0.003459351370111108
11705_ch,37.0,0.0034591732546687126
11705_ch,38.0,0.0034598952624946833
11705_ch,39.0,0.0034615464974194765
11705_ch,40.0,0.0034627194982022047
11705_ch,41.0,0.003464851761236787
11705_ch,42.0,0.0034679307136684656
11705_ch,43.0,0.0034710357431322336
11705_ch,44.0,0.003473991760984063
11705_ch,45.0,0.0034767864271998405
11705_ch,46.0,0.0034797454718500376
11705_ch,47.0,0.00348275457508862
11705_ch,48.0,0.003485160181298852
11705_ch,49.0,0.0034859234001487494
11707_cv,1.0,0.0025619673542678356
11707_cv,2.0,0.002570941811427474
11707_cv,3.0,0.002571950200945139
